"13023",2,2,2,0,6,0,2,1,1,0,70,221,0,0,2,15,6,0,1,0,1,2,0,1,24,0,0,1,5,0,3,0,10,6,0,1,0,5,0,3,1,1,0,3,36,2,9,1,0,1,0,0,8,5,0,3,1,3,0,17,1,0,6,1,0,1,14,0,6,0,0,0,0,0,6,143,2,2,0,2,4,2,0,2,0,0,35,1,2,0,0,9,0,1,1,4,0,0,0,0,2,3,1,1,0,1,2,1,0,0,21,0,1,0,0,43,2,0,0,0,13,2,0,0,0,2,2,0,2,0,0,2,0,13,0,2,5,4,0,0,2,0,7,0,1,0,1,4,0,6,0,0,3,0,2,1,0,2,1
"13025",8,2,6,0,2,0,1,3,4,2,13,0,291,0,3,14,2,2,0,41,2,3,0,43,40,0,0,0,5,0,6,3,12,18,2,2,0,1,0,3,0,1,0,10,2,1,11,2,0,0,0,1,5,3,0,1,0,6,0,23,0,0,380,2,1,0,14,0,5,0,0,1,1,0,1,6,4,0,0,5,2,0,0,1,0,2,6,3,16,0,0,42,2,0,7,0,0,0,0,0,1,2,3,5,1,4,3,1,0,2,2,0,41,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,5,0,0,5,0,4,0,5,8,5,1,1,2,2,0,0,0,0,9,196,0,2,27,0,2,2,3,1,1,0,0
"13027",2,7,1,1,3,1,1,1,3,1,11,0,0,205,0,3,1,1,0,3,2,5,0,0,6,0,0,0,7,0,3,5,15,9,45,3,19,1,0,3,0,1,2,13,1,1,19,4,1,0,1,0,3,0,0,4,3,2,0,32,0,0,3,1,2,0,13,0,5,1,0,0,0,0,6,8,1,1,0,1,0,0,0,0,1,1,4,2,1,0,0,510,0,0,0,0,0,0,0,0,4,4,1,0,0,11,0,1,0,0,1,0,0,0,1,1,1,0,0,0,7,1,0,0,0,3,1,0,5,0,0,4,0,0,1,106,20,1,0,0,2,2,3,0,0,1,2,12,0,0,2,0,0,2,1,1,0,0,0
"13029",4,0,2,0,4,1,2,0,1,0,19,0,4,0,661,120,3,0,0,13,11,5,0,0,1416,0,0,8,12,0,11,1,41,2,2,7,1,3,0,0,1,10,2,30,1,1,9,1,1,0,70,0,9,31,0,7,7,5,0,64,0,0,75,3,0,1,32,0,5,0,0,0,0,0,10,7,1,2,0,1,3,2,1,0,0,0,6,1,144,0,0,13,0,2,9,1,0,0,0,0,0,0,0,2,0,3,2,1,0,2,2,1,1,1,1,0,0,0,0,0,32,2,0,2,0,2,0,0,4,0,0,31,0,1,0,4,5,13,0,1,1,0,0,0,0,0,1,21,0,2,3,0,0,0,1,0,0,0,0
"13031",37,2,11,0,11,0,9,4,8,6,57,1,4,4,129,3167,47,1,2,28,67,5,0,0,1106,1,2,6,41,0,40,3,54,62,5,39,1,5,0,5,1,4,2,56,13,0,30,5,1,1,109,1,67,207,1,8,4,11,2,112,2,1,112,2,2,1,53,5,19,2,0,0,3,0,21,32,0,8,0,14,8,16,4,2,0,2,74,2,102,2,1,55,1,9,11,0,1,0,2,0,1,5,10,6,3,23,15,3,0,4,2,0,8,2,0,7,3,0,0,0,77,19,0,84,1,9,2,1,6,0,0,68,1,14,1,9,35,95,0,7,7,2,1,2,0,0,8,51,0,8,38,1,5,1,9,0,3,2,0
"13033",3,0,3,0,11,1,3,2,0,1,23,3,0,0,4,60,507,1,0,0,8,2,1,0,71,0,1,3,16,0,11,1,29,7,3,129,1,1,0,2,0,1,2,28,4,2,15,5,1,0,7,1,19,2,0,2,1,4,0,39,1,0,8,2,0,1,31,0,7,0,0,0,0,0,15,12,0,3,0,3,25,6,1,4,0,0,17,1,12,0,1,9,0,17,1,1,0,0,0,0,1,6,1,5,0,6,4,2,1,0,2,0,1,0,2,4,6,0,0,0,474,9,0,17,0,4,0,0,1,0,0,8,0,6,0,2,5,14,0,1,2,0,3,0,1,0,7,2,2,14,6,0,2,0,3,0,5,1,2
"13035",0,1,0,0,11,0,2,4,1,0,65,1,0,0,0,2,0,358,0,0,0,13,2,0,22,0,1,11,17,0,130,1,81,3,1,0,0,40,0,2,0,3,0,78,2,0,8,12,0,0,0,1,0,0,0,43,6,9,0,177,2,0,2,0,0,3,80,1,6,2,0,0,0,1,370,17,0,5,24,0,0,0,0,5,18,0,8,1,2,0,0,14,0,1,0,0,0,1,6,0,1,49,0,6,0,24,58,3,0,3,3,0,0,9,2,1,7,0,0,0,9,61,2,0,0,72,0,0,6,0,0,0,1,0,0,2,2,1,0,0,41,1,0,1,6,0,9,2,0,1,0,0,0,2,4,1,1,1,0
"13037",0,0,0,2,0,1,0,1,0,0,4,0,0,0,0,1,0,0,32,1,0,0,0,0,5,0,0,0,6,0,4,0,5,7,3,2,0,1,0,4,0,0,5,9,2,2,46,1,29,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,1,0,11,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,16,0,2,0,1,0,1,0,4,6,1,0,0,0,7,0,1,0,1,1,0,0,0,0,0,0,0,0,17,4,0,0,0,0,2,0,0,2,0,0,1,0,1,1,2,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0
"13039",8,0,1,0,7,1,3,3,1,1,39,1,10,0,16,64,3,0,0,1604,1,8,2,54,259,1,0,9,26,0,26,2,51,31,2,22,0,10,0,3,2,8,0,39,7,1,11,6,0,0,7,1,2,2,1,5,6,4,0,115,0,0,447,3,1,2,61,0,12,0,1,0,2,0,15,17,1,3,0,1,0,0,0,0,0,1,12,4,52,0,4,17,0,1,11,0,0,0,1,0,2,1,1,1,0,10,5,7,0,4,2,1,15,0,0,0,0,0,0,0,41,9,0,0,0,6,1,0,2,0,0,3,0,1,0,3,4,5,0,2,3,0,0,1,1,2,7,59,0,2,23,0,0,1,5,0,0,0,0
"13043",3,0,4,0,0,1,0,1,3,0,4,0,0,0,5,155,7,0,1,2,233,1,0,0,110,1,0,3,9,0,5,2,13,6,0,7,1,2,0,0,0,0,0,7,3,0,6,0,0,3,9,0,79,37,0,0,0,1,0,19,1,0,7,2,0,0,10,1,2,0,0,0,1,0,2,2,0,1,0,2,5,6,2,0,0,0,9,0,8,0,0,9,0,0,2,0,0,0,0,0,0,1,9,0,0,3,3,2,0,0,2,0,2,0,0,0,1,0,0,1,16,2,0,3,0,2,0,0,1,0,0,25,0,1,0,0,2,30,0,4,1,1,0,0,0,0,3,8,0,2,5,1,3,2,0,0,0,0,0
